nomor;sifat;jenis;hal;tgl;user;ruang
445/40764/303/2021;Biasa;Surat Pengntar;Surat Pengantar Hasil Audit Perinatal an By Wahyu Dewi S;25/10/2021;Reski Alfan DP;UMUM
445/43779/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara RSIA Melati Magetan dengan RSUD dr Soedono Madiun tentang Pelayanan Rujukan;25/10/2021;Dian;UMUM
445/43425/303/2021;Biasa;Surat Keterangan;Surat Keterangan biaya perawatan ditanggung oleh BPJS Kesehatan an Linda Liana;22/10/2021;Dian;UMUM
RSSM/ND/UMM/097/2021;Penting;Nota Dinas;Rincian Anggaran Lomba dan Kegiatan Hari Jadi Pemprov Jatim Ke 76 RSUD dr Soedono Madiun;22/10/2021;Dian;UMUM
934/43082/303/2021;Penting;Surat Permohonan;Permohonan Narasumber Sosialisasi Remunerasi;21/10/2021;Dian;UMUM
445/43115/303/2021;Biasa;Lain-lain;Kronologi Perawatan Pasien Atas Nama Naufal Al Zaydan;21/10/2021;Dian;UMUM
RSSM/ND/UMM/114/2021;Penting;Nota Dinas;Penyesuain Jadwal Kerja selama PPKM Level 2 COVID19 tanggal 19 Oktober 2021 s/d 1 November 2021;19/10/2021;Dian;UMUM
445/43025/303/2021;Penting;Surat Balasan;Jawaban Konfirmasi dan Informasi Redaksi Media Patroli News;19/10/2021;Dian;UMUM
RSSM/ND/UMM/113/2021;Penting;Nota Dinas;Usulan Anggaran Pengadaan Perangkat Streaming;18/10/2021;Dian;UMUM
445/42684/303/2021;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Rumah Sakit Tk IV Madiun dengan RSUD dr Soedono Madiun tentang Rujukan Pelayanan dan Penunjang Medis;15/10/2021;Dian;UMUM
445/42728/303/2021;Penting;Lain-lain;Laporan Pelaksanaan Kerja Sama dengan Mitra Kerja;15/10/2021;Dian;UMUM
445/42685/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT SABA INDOMEDIKA Surabaya dengan RSUD dr Soedono Madiun tentang Penggunaan Alat Kesehatan Hematology Analyser Sysmex XN 100B3 dan Sysmex XN L350 di Laboratorium Terpadu;15/10/2021;Dian;UMUM
445/42686/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Klinik Utama Rawat Inap Yepa Husada Kaibon dengan RSUD dr Soedono Madiun tentang Rujukan Pelayanan dan Penunjang Medis;15/10/2021;Dian;UMUM
800/42680/303/2021;Biasa;Surat Tugas;Mengikuti kegiatan Webinar Awam, Pelatihan BHD dan Deteksi Dini Serangan Jantung tgl 16 Okt 2021;15/10/2021;Dian;UMUM
853/42533/303/2021;Segera;Surat Permohonan;Permohonan Pemutusan No Telepon;14/10/2021;Dian;UMUM
RSSM/ND/UMM/112/2021;Penting;Nota Dinas;TL Sosialisasi Survei Penilaian Integritas di RSSM;14/10/2021;Dian;UMUM
445/42270/303/2021;Penting;Surat Undangan;Undangan Kegiatan Peringatan Hari Jadi Pemprov Ke 76 Tahun 2021 RSSM,;13/10/2021;Dian;UMUM
RSSM/ND/UMM/111/2021;Penting;Nota Dinas;Perubahan ID Meeting dan Passcode Apel Virtual;13/10/2021;Dian;UMUM
RSSM/ND/UMM/108/2021;Penting;Nota Dinas;Informasi Beasiswa Fakultas Airlangga Kesehatan Masyarakat Universitas Airlangga bagi PNS di RSSM;11/10/2021;Dian;UMUM
RSSM/ND/UMM/109/2021;Penting;Nota Dinas;Upacara Peringatan Hari Jadi Ke 76 Prov Jatim Thn 2021 di RSSM;11/10/2021;Dian;UMUM
RRSM/ND/UMM/110/2021;Penting;Lain-lain;Apel Rutin Virtual dan Pembagian Hadiah Lomba;11/10/2021;Dian;UMUM
RSSM/ND/UMM/110/2021;Penting;Nota Dinas;Apel Rutin Virtual dan Pembagian Hadiah Lomba;11/10/2021;Dian;UMUM
445/41565/303/2021;Segera;Surat Permohonan;Permohonan Rekomendasi Dan Pendampingan Pasien an Tn Agus Prasetyo W;06/10/2021;Dian;UMUM
RSSM/ND/UMM/107/2021;Penting;Nota Dinas;Penyesuain Jadwal Kerja selama PPKM Level 2 COVID19 tanggal 5 Oktober 2021 s/d 18 Oktober 2021;05/10/2021;Dian;UMUM
442/41357/303/2021;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan September 2021;04/10/2021;Dian;UMUM
445/40846/303/2021;Segera;Surat Keterangan;Surat Keterangan Kematian an Ny Diyem;30/09/2021;Dian;UMUM
445/40764/303/2021;Biasa;Surat Pengntar;Hasil Audit Perinatal an By Ny Wahyu Dewi S;30/09/2021;Dian;UMUM
445/40565/303/2021;Penting;Surat Balasan;Jawaban Permohonan Salinan Dokumen Akreditasi;29/09/2021;Dian;UMUM
445/40128/303/2021;Penting;Lain-lain;Penyampaian Hasil Pengisian SAQ PPID Tahun 2021;24/09/2021;Dian;UMUM
800/40075/303/2021;Penting;Surat Tugas;Panitia dan Juri Lomba Senam Tobelo RSSM 2021;23/09/2021;Dian;UMUM
RSSM/ND/UMM/096/2021;Penting;Nota Dinas;Penyesuain Jadwal Kerja selam PPKM Level 3 COVID19 tanggal 21 September s/d 4 Oktober 2021;21/09/2021;Dian;UMUM
445/39810/303/2021;Penting;Surat Pengntar;Hasil Audit Maternal an By. Ny Lilis Purwasih;21/09/2021;Dian;UMUM
445/39745/303/2021;Penting;Surat Permohonan;Pengajuan Permohonan Dana Kegiatan Peringatan Hari Jadi Pemprov Jatim Ke76 Tahun 2021 di RSUD dr Soedono Madiun;21/09/2021;Dian;UMUM
RSSM/ND/UMM/095/2021;Penting;Nota Dinas;Peringatan Hari Jadi Pemprov Jatim Ke 76 Th 2021;20/09/2021;Dian;UMUM
800/39440/303/2021;Biasa;Surat Tugas;Panitia Lomba Kebersihan di RSSM;17/09/2021;Dian;UMUM
800/39433/303/2021;Biasa;Surat Tugas;Panitia Baksos Hari Jadi Pemprov Jatim Ke76;17/09/2021;Dian;UMUM
800/39809/303/2021;Penting;Surat Tugas;Panitia Inti Hari Jadi Pemprov Jatim Ke76 pada bulan September Oktober 2021;17/09/2021;Dian;UMUM
445/39291/303/2021;Penting;Lain-lain;Usulan Kegiatan Hari Jadi Ke 76 Prov Jatim;16/09/2021;Dian;UMUM
445/39274/303/2021;Penting;Surat Pengntar;Hasil Audit Perinatal an Ny Triani;16/09/2021;Dian;UMUM
445/42729/303/2021;Biasa;Surat Keterangan;Surat Keterangan Kelahiran an Desy Kumalaningrum;15/09/2021;Dian;UMUM
445/42687/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Klinik Utama Rawat Jalan Ultra Medica dengan RSUD dr Soedono Madiun tentang Rujukan Pelayanan dan Penunjang Medis ;15/09/2021;Dian;UMUM
RSSM/ND/UMM/094/2021;Penting;Nota Dinas;Penyesuain Jadwal Kerja selam PPKM Level 3 COVID19 tanggal 14 September s/d 20 September 2021;14/09/2021;Dian;UMUM
445/38934/303/2021;Biasa;Surat Pengntar;Hasil Audit Maternal an Ny Ika Darmawati;14/09/2021;Dian;UMUM
RSSM/ND/UMM/093/2021;Penting;Nota Dinas;Pemberitahuan Pembukaan Parkir Basement Gedung Trauma Center RSSM;13/09/2021;Dian;UMUM
445/42101/303/2021;Penting;Lain-lain;Pemanfaatan Sertifikat Elektronik Lingkup Pemprov Jatim;12/09/2021;Dian;UMUM
0;Penting;Surat Keterangan;Konfirmasi pasien meninggal an Wahid Hasyim;09/09/2021;Dian;UMUM
RSSM/ND/UMM/083/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level III COVID 19 tanggal 7 September s/d 13 September 2021;07/09/2021;Dian;UMUM
445/37876/303/2021;Penting;Surat Permohonan;Permohonan Izin Calon Dosen Praktisi Dengan NIDK Pada Poltekes Kemenkes Malang;07/09/2021;Dian;UMUM
442/37218/303/2021;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan Agustus 2021;06/09/2021;Dian;UMUM
RSSM/ND/UMM/081/2021;Penting;Nota Dinas;Penyesuaian Jadwad Kerja selama PPKM Level 4 COVID19 tanggal 31 Agustus s/d 6 September 2021;31/08/2021;Dian;UMUM
RSSM/ND/UMM/082/2021;Penting;Nota Dinas;Survei Penilaian Integritas di RSUD dr. Soedono Madiun;31/08/2021;Dian;UMUM
800/36852/303/2021;Penting;Surat Tugas;SPPT dr. Dwi Siwi Mardiati, M.Kes sebagai Pelaksana Tugas (Plt) Kepala Bidang Keperawatan RSUD dr. Soedono Madiun;31/08/2021;Dian;UMUM
445/36620/303/2021;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Dinas Kesehatan Kabupaten Magetan dengan RSUD dr. Soedono Madiun tentang Penyelenggaraan Pelayanan Kesehatan Tingkat Lanjutan bagi Masyarakat Miskin Kabupaten Magetan dengan Identitas Surat Pernyataan Miskin (SPM) yang dibiayai dengan Dana Jampersal;30/08/2021;Dian;UMUM
800/35924/303/2021;Penting;Surat Tugas;Melaksanakan tugas sebagai Panitia Lomba Pintar Akreditasi 2021 di RSUD dr. Soedono Madiun;24/08/2021;Dian;UMUM
RSSM/ND/UMM/079/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level 4 COVID 19 tanggal 24 Agustus s/d 30 Agustus 2021;24/08/2021;Dian;UMUM
RRSM/ND/UMM/077/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level 4 COVID 19 tanggal 17 Agustus s/d 23 Agustus 2021;18/08/2021;Dian;UMUM
RRSM/ND/UMM/075/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level 4 COID 2019 tanggal 10 Agustus s/d 16 Agustus 2021;10/08/2021;Dian;UMUM
RSSM/ND/UMM/080/2021;Penting;Nota Dinas;Jadwal Peninjauan Pelayanan RSUD dr. Soedono Madiun;10/08/2021;Dian;UMUM
445/34238/303/2021;Penting;Lain-lain;Konfirmasi LSM Gemah;09/08/2021;Dian;UMUM
800/34073/303/2021;Penting;Surat Tugas;Terhitung mulai tanggal 09 Agustus 2021 disamping sebagai Pembantu Pengurus Barang Persediaan Medis RSUD dr. Soedono Madiun yang menjadi kewenangannya juga sebagai Pelaksana Harian (Plh) Pengurus Barang Persediaan Medis RSUD dr. Soedono Madiun yang dikelola oleh sdr. Kusumaningtyas Dwi Pangesti,S.Farm,Apt sampai dengan yang bersangkutan aktif kembaki;09/08/2021;Dian;UMUM
445/33855/303/2021;Biasa;Surat Keterangan;Surat Ket Kelahiran an Ny Maya Devi Maharani;06/08/2021;Dian;UMUM
RRSM/ND/UMM/073/2021;Penting;Nota Dinas;Peringatan HUT ke76 Kemerdekaan RI Tahun 2021;05/08/2021;Dian;UMUM
445/33661/303/2021;Penting;Surat Permohonan;Permohonan Rekomendasi Pelayanan Kemoterapi RSUD dr. Soedono Madiun;05/08/2021;Dian;UMUM
445/33471/303/2021;Penting;Lain-lain;Penyampaian Keluhan dan Teguran ke UMC Suzuki Surabaya;04/08/2021;Dian;UMUM
RSSM/ND/UMM/072/2021;Penting;Nota Dinas;Pengalihan Sementara Ruang Pertemuan;03/08/2021;Dian;UMUM
RSSM/ND/UMM/071/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level 4 COVID 2021 tanggal 3 Agustus s/d 9 Agustus 2021;03/08/2021;Dian;UMUM
442/33410/303/2021;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan Juli 2021;03/08/2021;Dian;UMUM
445/32948/303/2021;Penting;Lain-lain;Permintaan Reagen Pemeriksaan Specimen Covid19;02/08/2021;Dian;UMUM
445/33203/303/2021;Penting;Lain-lain;TL Hasil Pemeriksaan BPK RI Atas LKPD Prov Jatim TH 2020;02/08/2021;Dian;UMUM
445/33220/303/2021;Penting;Lain-lain;Usulan Pengelola Keuangan pada SKPD (Perubahan) TA 2021;02/08/2021;Dian;UMUM
800/33000/303/2021;Penting;Surat Tugas;SPPH Kuswanto,S.Kep.Ns,M.Kes sebagai Pelaksana Harian (Plh) Pejabat Pembuat Komitmen (PPKom) Anggaran Fungsional RSUD dr. Soedono Madiun yang dikelola oleh Sdr. Mochamad Samsul,SH sampai dengan yang bersangkutan aktif kembali;02/08/2021;Dian;UMUM
445/32741/303/2021;Penting;Lain-lain;Usulan Atas Rencana Perubahan Pergub Jatim Nomor 67 Tahun 2020;30/07/2021;Dian;UMUM
445/32751/303/2021;Biasa;Surat Pengntar;Surat Pengantar Addendum I Perjanjian Kerjasama antara Rumah Sakit Griya Husada Madiun dengan RSUD dr. Soedono Madiun tentang Pelayanan Medis Rujukan;30/07/2021;Dian;UMUM
640/32470/303/2021;Penting;Lain-lain;Penyetoran Kelebihan Pembayaran Pekerjaan tgl 29 Juli 2021;29/07/2021;Dian;PPE
RSSM/ND/UMM/069/2021;Penting;Nota Dinas;Pemberitahuan Pemadaman Aliran Listrik tgl 31 Juli 2021;29/07/2021;Dian;UMUM
RSSM/ND/UMM/068/2021;Penting;Nota Dinas;Pemberitahuan Pemadaman Aliran Listrik tgl 30 Juli dan 1 Agustus 2021;29/07/2021;Dian;UMUM
RSSM/ND/IKPK/001/2021;Segera;Nota Dinas;Pengajuan Rencana Belanja Anggaran Periode 2021;29/07/2021;Dian;UMUM
RSSM/ND/UMM/066/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level 4 COVID19 tanggal 26 Juli s/d 2 Agustus 2021;26/07/2021;Dian;UMUM
RSSM/ND/UMM/067/2021;Penting;Nota Dinas;Perubahan Kedua Atas Keputusan Bersama (SKB) 3 Menteri tentang Hari Libur Nasional dan Cuti Bersama Tahun 2021;26/07/2021;Dian;UMUM
445/31588/303/2021;Biasa;Surat Keterangan;Surat Ket Kematian an. Ny Priyani;23/07/2021;Dian;UMUM
442/31539/303/2021;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan Juni 2021;22/07/2021;Dian;UMUM
445/31168/303/2021;Penting;Surat Permohonan;Permohonan Jam Dinding Bagi Ruang Isolasi Khusus Covid19;21/07/2021;Dian;UMUM
RSSM/ND/UMM/065/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Level 4 CoVID 2019 tanggal 21 Juli s/d 25 Juli 2021;21/07/2021;Dian;UMUM
RSSM/ND/UMM/064/2021;Penting;Nota Dinas;Pengosongan Lahan Parkir Karyawan Jl. Sumbawa;19/07/2021;Dian;UMUM
800/30964/303/2021;Biasa;Surat Tugas;Melaksanakan tugas sebagai Tim Penyusun Dokumen Perizinan Operasional RSUD dr. Soedono Madiun;19/07/2021;Dian;UMUM
RSSM/ND/YAN/79/2021;Penting;Nota Dinas;Batasan Peninjauan Pelayanan Covid19 Sesuai KMK 4718 Tahun 2021;16/07/2021;Dian;PELAYANAN
445/30533/303/2021;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT INKA MULTI SOLUSI dengan RSUD dr Soedono Madiun tentang Pelayanan Kesehatan bagi Pegawai PT INKA Multi Solusi dan Keluarganya di RSUD dr Soedono Madiun;15/07/2021;Dian;UMUM
445/30534/303/2021;Penting;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama Perusahaan Umum (PERUM) Kehutanan Negara dengan RSUD dr Soedono Madiun tentang Tambahan Manfaat Pelayanan Kesehatan Program Jaminan Kesehatan Bagi Pegawai Perum Perhutani ;15/07/2021;Dian;UMUM
445/30645/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Fakultas Psikologi UIN Maulana Malik Ibrahim Malang dengan RSUD dr Soedono Madiun tentang Praktik Kerja Lapangan Psikologi;15/07/2021;Dian;UMUM
RSSM/ND/UMM/062/2021;Penting;Nota Dinas;Pemberitahuan Penutupan parkir basement Gedung Trauma Center RSUD dr Soedono Madiun;14/07/2021;Dian;UMUM
445/30334/303/2021;Segera;Surat Permohonan;Permohonan Peminjaman Tenda untuk Keluarga Pasien COVID19;14/07/2021;Dian;UMUM
RSSM/ND/YAN/78/2021;Penting;Nota Dinas;Efisiensi Ketenangan dan Optimalisasi Pelayanan;14/07/2021;Dian;PELAYANAN
RSSM/ND/YAN/77/2021;Penting;Nota Dinas;Penutupan Ruang Wijaya Kusuma E Untuk Pasien Umum Digunakan Sebagai Ruang Isolasi Khusus Covid19 Tanpa Bertekanan Negative;14/07/2021;Dian;PELAYANAN
RSSM/ND/UMM/061/2021;Penting;Nota Dinas;Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat COVID19 di Tempat Ibadah dan Petunjuk Pelaksanaan Malam Takbiran, Sholat Idul Adha dan Petunjuk Pelaksanaan Qurban Tahun 1442H/2021M di RSUD dr Soedono Madiun;13/07/2021;Dian;UMUM
445/30259/303/2021;Penting;Surat Balasan;Jawaban Somasi Ketua LSM GCW Jatim;13/07/2021;Dian;UMUM
640/28902/303/2021;Penting;Lain-lain;Penyetoran Kelebihan Pembayaran Pekerjaan tgl 12 Juli 2021;12/07/2021;Dian;UMUM
445/28864/303/2021;Penting;Lain-lain;Usulan Alat Kesehatan menghadapi lonjakan Kasus COVID19;11/07/2021;Dian;UMUM
445//28692/303/2021;Penting;Lain-lain;Usulan Kebutuhan Penambahan Tenaga Relawan, Usulan Anggaran Honorarium dan Ekstrafooding Tenaga Relawan BTT Pelayanan Penanganan Covid19 di RSSM;09/07/2021;Dian;TU
934/28693/303/2021;Penting;Lain-lain;Konfirmasi Piutang Kemenkes/COVID19;09/07/2021;Dian;UMUM
445/28454/303/2021;Biasa;Surat Keterangan;Surat Ket Kelahiran atas nama Ny Maya Juwita;08/07/2021;Dian;UMUM
445/28453/303/2021;Biasa;Surat Keterangan;Surat Ket Kelahiran an Ny Yoselinda Novia Santi;08/07/2021;Dian;UMUM
445/28268/303/2021;Penting;Surat Permohonan;Permohonan Approvement RSUD dr Soedono Madiun;07/07/2021;Dian;PPE
800/28407/303/2021;Penting;Surat Tugas;SPPH an Gaguk Eko Waluyo,S.Kep,M.Kes sebagai Pelaksana Harian (Plh) Pejabat Pengadaan untuk Perbekalan Farmasi RSUD dr. Soedono Madiun yang dikelola oleh Sdr. Fidi Esti Susanti,S.Farm.Apt sampai dengan yang bersangkutan aktif kembali;07/07/2021;Dian;UMUM
033/172/VII/2021;Biasa;Surat Keterangan;Surat Keterangan Naik Kelas Kamar Perawatan an. Endang Rahayu Ningsih;07/07/2021;Dian;UMUM
RSSM/ND/YAN/75/2021;Penting;Nota Dinas;Perluasan Kapasitas Tempat Tidur RID (Ruang Isolasi Darurat);07/07/2021;Dian;PELAYANAN
445/28080/303/2021;Penting;Lain-lain;Penyampaian TT JKN,Ruang Isolasi, ICU dan Ventilator Pasien COVID19 di RSUD dr Soedono Madiun;06/07/2021;Dian;UMUM
RSSM/ND/UMM/058/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja Bagi Pegawai di Lingkungan RSUD dr Soedono Madiun selama masa Perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Berbasis Mikro Darurat COVID19 mulai tanggal 3 Juli s/d 20 Juli 2021;05/07/2021;Dian;UMUM
445/27786/303/2021;Penting;Lain-lain;Penyampaian Data Tim Penyelenggaraan Pusat Kesejahteraan Sosial Anak Integratif Kota Madiun;05/07/2021;Dian;UMUM
445/27501/303/2021;Penting;Surat Keterangan;Penggunaan produk pendingin air conditioning;02/07/2021;Dian;UMUM
RSSM/ND/YAN/70/2021;Penting;Nota Dinas;Penutupan Merpati E Untuk Pasien Umum Digunakan Untuk Ruang Isolasi Pasien COVID19 Tanpa Bertekanan Negative ;01/07/2021;Dian;UMUM
445/27170/303/2021;Penting;Surat Permohonan;Permohonan Izin Kegiatan Sholat Idul Adha 1442 H/2021 M dan Penyembelihan Hewan Qurban ;01/07/2021;Dian;UMUM
RSSM/ND/UMM/057/2021;Penting;Nota Dinas;Sosialisasi Kegiatan Pencegahan dan Pengendalian Infeksii;01/07/2021;Dian;UMUM
445/27176/303/2021;Segera;Lain-lain;Rencana Program, Kegiatan dan Pendanaan Renstra RSUD dr Soedono Madiun;01/07/2021;Dian;UMUM
800/27353/303/2021;Biasa;Surat Tugas;Melaksanakan tugas sebagai Tenaga Koder dan Verifikator Berkas Klaim COVID19 pada Instalasi Kerjasama dan Pembiayaan Kesehatan (IKPK) RSUD dr Soedono Madiun terhitung mulai tanggal 1 Juli 2021 sampai dengan 31 Desember 2021;01/07/2021;Dian;TU
445/26293/303/2021;Biasa;Surat Keterangan;Surat Keterangan Sakit atas nama Tn. Sukarno;28/06/2021;Dian;UMUM
445/26266/303/2021;Penting;Lain-lain;Penetapan Daftar Data Tahun 2022 Satu Data Jatim RSUD dr Soedono Madiun;28/06/2021;Dian;UMUM
800/26303/303/2021;Penting;Surat Tugas;SPPH an Sujiah sebagai Pelaksana Harian (Plh) Bendahara Penerimaan RSUD dr Soedono Madiun yang dikelola oleh Sdr. Herna Wijayanti,SE.Ak,MM sampai dengan yang bersangkutan aktif kembali;28/06/2021;Dian;UMUM
445/26207/303/2021;Penting;Lain-lain;Teguran Perbaikan Kinerja Personil Pengelola Parkir;25/06/2021;Dian;UMUM
445/25917/303/2021;Penting;Surat Tugas;Melaksanakan tugas sebagai Panitia Hari Raya Idul Adha 1442 H/ 2021 M yang akan dilaksanakan pada hari Selasa tanggal 20 Juli 2021 di RSUD dr Soedono Madiun;24/06/2021;Dian;UMUM
800/26069/303/2021;Penting;Surat Tugas;dr.Dwi Siwi Mardiati,M.Kes terhitung mulai tanggal 24 Juni 2021 disamping melaksanakan tugasnya sebagai Wakil Direktur Pelayanan Medik dan Keperawatan RSUD dr Soedono Madiun juga sebagai Pelaksana Harian (Plh), Pelaksana Tugas (Plt) Direktur RSUD dr Soedono Madiun sampai dengan pejabat yang berhalangan sementara aktif kembali;24/06/2021;Dian;UMUM
445/25787/303/2021;Biasa;Surat Keterangan;Surat Keterangan Kelahiran an Ny Endah Ayu Kumalasari;23/06/2021;Dian;UMUM
445/25610/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk dengan RSUD dr Soedono Madiun tentang Penyediaan Jasa Layanan Information dan Communication Technology (ICT);22/06/2021;Dian;UMUM
RSSM/ND/UMM/056/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja selama PPKM Berbasis Mikro mulai tanggal 22 Juni s/d 05 Juli 2021;22/06/2021;Dian;UMUM
445/25538/303/2021;Penting;Lain-lain;Jawaban Permohonan Alat Pelindung Diri (APD);21/06/2021;Dian;UMUM
445/25539/303/2021;Biasa;Surat Keterangan;Surat Keterangan biaya perawatan ditanggung oleh BPJS Kesehatan;21/06/2021;Dian;UMUM
445/25540/303/2021;Penting;Surat Keterangan;Surat Keterangan Kelahiran an Ny Wulan Handayani;21/06/2021;Dian;UMUM
445/25406/303/2021;Biasa;Surat Balasan;Jawaban Penawaran Kerja Sama dengan PT BNI (Persero);21/06/2021;Dian;UMUM
445/25407/303/2021;Biasa;Surat Pengntar;Surat Pengantar Perjanjian Kerja Sama antara PT Kereta Api Indonesia (Persero) Daerah Operasi 7 Madiun dengan RSUD dr Soedono Madiun tentang Pelayanan Kesehatan bagi Peserta Jaminan Kesehatan Perusahaan (JKP) PT Kereta Api Indonesia (Persero);21/06/2021;Dian;UMUM
445/25542/303/2021;Penting;Surat Balasan;Jawaban Somasi;21/06/2021;Dian;UMUM
RSSM/ND/UMM/059/2021;Penting;Nota Dinas;TL Hasil Pemeriksaan BPK RI Atas LKPD Provinsi Jawa Timur Tahun Anggaran 2021;18/06/2021;Dian;UMUM
0;Penting;Lain-lain;dr. Ratih Kartika Suryani membuat  Inovasi yang berjudul Pengelolaan Pelayanan Magang Bidang Pendidikan;18/06/2021;Dian;NULL
0;Penting;Lain-lain;dr.R.Sjaiful,Sp.JP membuat Inovasi yang berjudul Peningkatan Pelayanan Pasca Persalinan Bayi Dengan Pemberian Akte Kelahiran;18/06/2021;Dian;NULL
0;Penting;Lain-lain;Kuswanto,S.Kep.Ns.M.Kes membuat Inovasi yang berjudul IGD Information System Sebagai Upaya Keterbukaan Pelayanan Gawat Darurat Berbasis IT Kepada Masyarakat;18/06/2021;Dian;NULL
RRSM/ND/UMM/055/2021;Penting;Nota Dinas;Keputusan Walikota Madiun tentang Pembentukan Tim Audit Maternal Perinatal Kota Madiun;15/06/2021;Dian;UMUM
445/24672/303/2021;Biasa;Surat Permohonan;Permohonan Klarifikasi Pasien Meninggal Ny STR;14/06/2021;Dian;PELAYANAN
445/24401/303/2021;Biasa;Surat Permohonan;Permohonan Surat Keterangan Operasi an R. Nakula Indira Banyunaksa;11/06/2021;Dian;PELAYANAN
445/24144/303/2021;Penting;Lain-lain;Usulan Tim Kendali Mutu dan Kendali Biaya RSUD dr Soedono Madiun;10/06/2021;Dian;NULL
RSSM/ND/PNJ/084/2021;Penting;Nota Dinas;Pemadaman Listrik Tanggal 11 Juni 2021;09/06/2021;Dian;PENUNJANG
445/23655/303/2021;Penting;Lain-lain;Jawaban Permohonan Izin Kegiatan Open Booth;08/06/2021;Dian;UMUM
445/23656/303/2021;Penting;Surat Pengntar;Perjanjian Kerja Sama antara RSU Muslimat Ponorogo dengan RSUD dr Soedono Madiun tentang Rujukan dan Penunjang Medis;08/06/2021;Dian;UMUM
442/22920/202/2021;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan Mei 2021;03/06/2021;Dian;UMUM
445/22672/303/2021;Penting;Surat Pengntar;Hasil Audit Perinatal an. By. Mahendra Wahyu W;02/06/2021;Dian;UMUM
RRSM/ND/UMM/052/2021;Penting;Nota Dinas;Penyesuaian Jadwal Kerja Bagi Pegawai di Lingkungan RSUD dr Soedono Madiun selama masa Perpanjangan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Berbasis Mikro mulai tanggal 2 Juni s/d 14 Juni 2021;02/06/2021;Dian;NULL
445/22673/303/2021;Penting;Surat Pengntar;Hasil Audit Perinatal an By Ny Ninuk Rohmawati;02/06/2021;Dian;UMUM
445/22170/303/2021;Penting;Surat Pengntar;Perjanjian Kerja Sama antara PT. Bank Pembangunan Daerah Jawa Timur Tbk. Cabang Madiun dengan RSUD dr Soedono Madiun tentang Fasilitas Kredit Multiguna Bagi Pegawai Tetap Badan Layanan Umum Daerah (BLUD) Non PNS RSUD dr Soedono Madiun;31/05/2021;Dian;UMUM
RSSM/ND/UMM/050/2021;Penting;Nota Dinas;Pendampingan Kegiatan Kearsipan;31/05/2021;Dian;UMUM
445/22302/303/2021;Penting;Surat Pengntar;Hasil Audit Perinatal an By Ny Novia Naya Gisella;31/05/2021;Dian;UMUM
445/22320/303/2021;Biasa;Surat Permohonan;Permohonan Surat Keterangan Sakit an Langgeng Santoso;31/05/2021;Dian;UMUM
442/22046/303/2021;Penting;Surat Pengntar;Laporan pemakaian metadon Bulan April 2021;28/05/2021;Dian;NULL
445/21068/303/2021;Penting;Surat Pengntar;Kesepahaman Bersama dan Perjanjian Kerja Sama antara Dinas Kesehatan, Pengendalian Penduduk dan KB Kota Madiun;25/05/2021;Dian;UMUM
445/21608/303/2021;Penting;Surat Pengntar;Kesepahaman Bersama dan Perjanjian Kerja Sama antara Dinas Kesehatan, Pengendalia Penduduk dan Keluarga Berencana Kota Madiun;25/05/2021;Dian;UMUM
RSSM/ND/PNJ/080/2021;Penting;Nota Dinas;Pemadaman Listrik tgl 25 Mei 2021;24/05/2021;Dian;PENUNJANG
RRSM/ND/PEG/15/2021;Penting;Nota Dinas;Update Data IP ASN di Aplikasi EMaster Tahun 2021 dan Pengisian Capaian Kerja untuk PTTPK;24/05/2021;Dian;KEPEGAWAIAN
